aqid,GFMS_TotalArea_km,GFMS_%Area,GFMS_MeanDepth,GFMS_MaxDepth,GFMS_Duration
117914,0.0,0.0,0.0,0.0,3
117915,0.0,0.0,0.0,0.0,3
117916,0.0,0.0,0.0,0.0,3
117917,0.0,0.0,0.0,0.0,3
117918,0.0,0.0,0.0,0.0,3
117919,0.0,0.0,0.0,0.0,3
117920,0.0,0.0,0.0,0.0,3
117930,184.77990439376777,5.847533796875715,0.00010226407903246582,0.00010226407903246582,3
117940,0.0,0.0,0.0,0.0,3
117950,0.0,0.0,0.0,0.0,3
117960,0.0,0.0,0.0,0.0,3
117970,0.0,0.0,0.0,0.0,3
117980,0.0,0.0,0.0,0.0,3
117990,183.3980326776545,44.863849398136566,0.0022432005498558283,0.0022432005498558283,3
