pfaf_id,area_km2,ISO,Admin0,Admin1,rfr_score,cfr_score
422644,16369.047461599603,RUS,Russia,Amur,1.111224024,0.0
422645,1146.71829573,RUS,Russia,Amur,1.98647305,0.0
422646,6379.599449879999,RUS,Russia,Amur,0.5629850989999999,0.0
422647,10546.403865355998,RUS,Russia,Amur,0.998484445,0.0
422648,8009.785017361,RUS,Russia,Amur,2.938139374,0.0
422649,2923.2122907390008,RUS,Russia,Amur,3.0195241680000002,0.0
422650,27872.375476759997,RUS,Russia,Amur,1.1817944009999999,0.0
422660,16051.405617299997,RUS,Russia,Amur,1.208546914,0.0
422670,2716.6289290756995,RUS,Russia,Amur,4.029895432,0.0
422681,2494.35774659,RUS,Russia,Amur,4.006575776,0.0
422682,14893.3057830629,RUS,Russia,Amur,2.8285249489999997,0.0
422683,14027.000389253499,RUS,Russia,Amur,3.469170149,0.0
422684,7057.069506379299,RUS,Russia,Amur,2.0798516830000002,0.0
422685,221.879409166,RUS,Russia,Amur,0.0,0.0
