,continet,country,year,geotype,res,link,imageurl,imagesize
86,Americas,Guatemala,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49796,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GTM/gtm_ppp_2020_constrained.tif,3.39
87,Americas,Guyana,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49797,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/GUY/guy_ppp_2020_constrained.tif,4.63
88,Americas,Haiti,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49798,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/HTI/hti_ppp_2020_constrained.tif,1.52
89,Americas,Honduras,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49800,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/HND/hnd_ppp_2020_constrained.tif,3.97
90,Americas,Jamaica,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49810,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/JAM/jam_ppp_2020_constrained.tif,1.09
91,Americas,Martinique,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49829,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MTQ/mtq_ppp_2020_constrained.tif,0.27
92,Americas,Mexico,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49830,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MEX/mex_ppp_2020_constrained.tif,53.46
93,Americas,Montserrat,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49835,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MSR/msr_ppp_2020_constrained.tif,0.01
94,Americas,Nicaragua,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49848,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/NIC/nic_ppp_2020_constrained.tif,3.2
95,Americas,Panama,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49857,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/PAN/pan_ppp_2020_constrained.tif,2.17
96,Americas,Paraguay,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49859,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/PRY/pry_ppp_2020_constrained.tif,7.77
97,Americas,Peru,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49860,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/PER/per_ppp_2020_constrained.tif,21.97
98,Americas,Puerto Rico,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49865,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/PRI/pri_ppp_2020_constrained.tif,1.21
99,Americas,Saint Barth̩lemy,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49868,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/BLM/blm_ppp_2020_constrained.tif,0.01
100,Americas,Saint Kitts and Nevi,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49870,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/KNA/kna_ppp_2020_constrained.tif,0.04
101,Americas,Saint Lucia,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49872,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/LCA/lca_ppp_2020_constrained.tif,0.05
102,Americas,Saint Martin,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49873,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/MAF/maf_ppp_2020_constrained.tif,0.01
103,Americas,Saint Pierre and Miq,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49874,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/SPM/spm_ppp_2020_constrained.tif,0.03
104,Americas,Saint Vincent and th,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49875,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/VCT/vct_ppp_2020_constrained.tif,0.08
105,Americas,Sint Maarten (Dutch,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49843,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/SXM/sxm_ppp_2020_constrained.tif,0.01
106,Americas,Suriname,2020,Population,100m,https://hub.worldpop.org/geodata/summary?id=49884,https://data.worldpop.org/GIS/Population/Global_2000_2020_Constrained/2020/BSGM/SUR/sur_ppp_2020_constrained.tif,2.46
